Suburb,Place_id,commercial.shopping_mall,catering,education,entertainment,healthcare,public_transport,office,natural,total
Mount duneed,51c65a327d250a62405904c35ecda61d43c0f00101f901388e290000000000c00205,0,0,2,0,0,14,0,20,36
Mount egerton,51c56c6ef155036240595d401eb061d042c0f00103f9017077c93a00000000c0020892030d4d6f756e742045676572746f6e,0,0,2,0,0,1,0,20,23
Mount eliza,5122776c5fdb226240598025fcf7851743c0f00101f901df1e250000000000c00205,2,20,7,1,18,19,12,20,99
Mount evelyn,514e8de1fb6c2c62405929441bdbc6e442c0f00101f90112fc240000000000c00205,0,17,7,0,6,10,0,20,60
Mount helen,519bcb0d867afc614059c8f951c36dcf42c0f00103f9010de6e63800000000c0020592030b4d6f756e742048656c656e,0,14,12,1,0,12,2,20,61
Mount macedon,5133816ca3cb12624059d858d30671b342c0f00103f9017341f91f00000000c0020792030d4d6f756e74204d616365646f6e,0,7,3,1,0,1,3,20,35
Mount martha,5176622019fc20624059c68db685422343c0f00101f901e83a250000000000c00205,0,7,3,0,0,11,0,20,41
Mount pleasant,51dd90eb4b5bfb614059e1ce85915eca42c0f00103f90118cde63800000000c0020592030e4d6f756e7420506c656173616e74,2,20,20,15,10,20,20,20,127
Mount waverley,51a1890b9b1c2462405974c7ac286ff042c0f00101f9011795240000000000c00205,1,20,13,3,16,20,8,9,90
Mulgrave,51da70bd4bd12562405974e6c3584bf742c0f00101f90116e83b0000000000c002079203114d756c6772617665204469737472696374,4,20,20,3,20,20,20,20,127
Murchison,51a4aa09a2ee266240596ea301bc054f42c0f00103f90177cfb80e00000000c002089203094d7572636869736f6e,0,2,1,0,1,2,0,20,26
Murrumbeena,5186483c8f402262405968356e7bccf242c0f00101f9011f95240000000000c00205,0,19,2,0,12,20,9,3,65
Murtoa,51481ba265f8ce614059ab477595494f42c0f00101f9013943300000000000c00207,0,1,2,2,0,0,0,20,25
Myrtleford,511f251bb43c57624059f20b0adeeb4742c0f00101f9014869270000000000c00207,0,15,4,3,4,2,1,20,49
Nagambie,51bab99d22ec246240598bf216597c6442c0f00103f901d2dbe90300000000c002089203084e6167616d626965,0,12,4,1,3,4,6,20,50
Nar nar goon,51d06fa9946832624059c2210a1cbf0a43c0f00101f901995a250000000000c00208,0,1,3,0,0,2,0,20,26
Narre warren,516661f481c9296240592c62d8614c0243c0f00101f901af00250000000000c00205,2,20,8,6,15,20,5,11,87
Narre warren north,51ba34d55e6d296240593e26ad53400043c0f00101f90130573b0000000000c0020592031b4e617272652057617272656e204e6f727468204469737472696374,5,20,20,8,18,20,7,20,118
Narre warren south,513621bc48ba29624059753117024a0643c0f00101f901385a3b0000000000c0020792031b4e617272652057617272656e20536f757468204469737472696374,4,20,20,0,17,18,15,20,114
Nathalia,51232d95b7a32662405996bcf039660742c0f00101f901656a260000000000c00207,0,2,5,1,0,0,0,20,28
Natimuk,5137fc6eba25be61405953060e68e95e42c0f00101f9011a66300000000000c00207,0,2,1,1,0,0,1,20,25
Neerim south,5136b05582853e624059d5a82caf010243c0f00103f901c8ab5c7900000000c0020792030c4e656572696d20536f757468,0,2,3,0,1,0,0,20,26
Nelson,51fac6212c34a0614059658632f90b0643c0f00103f90153fbbf2200000000c002089203064e656c736f6e,0,1,0,0,0,0,0,17,18
Nerrina,513c020bdb8cfc6140594033880fecc442c0f00101f901a8b22f0000000000c00206,0,0,1,0,0,0,0,20,21
New gisborne,51729e567626136240597b7c8c03f9ba42c0f00101f901bb3a250000000000c00207,0,0,3,0,0,1,0,20,24
Newborough,518feed6e84b49624059fdb0efd46d1743c0f00101f901edab270000000000c00208,0,1,6,0,0,0,0,14,21
Newcomb,5116a4198ba60c62405950bddaf6e21443c0f00101f901767a250000000000c00205,1,7,4,0,4,5,0,0,21
Newhaven,51f471c8618b2b624059cf914bd2eb4143c0f00101f9016b8c250000000000c00207,0,2,1,1,0,2,1,20,27
Newington,51e7340bb47bfa6140595cee27be35c842c0f00103f9016a66d93800000000c002059203094e6577696e67746f6e,6,20,20,15,14,20,20,20,135
Newlands arm,516829b4077576624059018cc28943f642c0f00103f9016782603701000000c0020792030c4e65776c616e64732041726d,0,4,3,0,1,2,2,20,32
Newport,515789c3e32c1c624059260230f9faeb42c0f00101f9019ea8240000000000c00205,0,20,7,4,10,20,6,14,81
Newstead,511b39c1edff016240591d4b6947bb8d42c0f00101f90188a52a0000000000c00208,0,3,1,0,0,0,0,20,24
Newtown (greater geelong),51c270091bb90a6240597539ca66b31343c0f00101f901b87a250000000000c00205,0,20,12,1,12,20,20,17,102
Nhill,5197c05202c7b4614059c46977fea32a42c0f00103f9018ecb1d1100000000c002089203054e68696c6c,0,6,3,0,0,2,1,8,20
Nichols point,5158288870c2c66140593429aa23ec1a41c0f00101f901f08b2f0000000000c00207,0,0,1,0,0,0,0,11,12
Niddrie,517b2c222f501c6240595888b3c7b0de42c0f00101f9014fa0240000000000c00205,1,3,4,0,0,10,0,0,18
Noble park,515dc30c8da725624059051fdece19fc42c0f00101f90155b7240000000000c00205,1,20,10,0,9,20,19,5,84
Noble park north,51010baa571b266240596754cf38c3f942c0f00101f9014eb7240000000000c00205,0,6,4,0,5,10,1,3,29
Norlane,51b66f4969510b6240597f3a79ecc20b43c0f00101f901717a250000000000c00205,2,10,4,0,3,20,1,3,43
North bendigo,519d5b32d8de08624059088e70ff365e42c0f00103f901b7ae697a00000000c0020592030d4e6f7274682042656e6469676f,3,20,20,12,20,20,20,20,135
North geelong,513cc670d0390b624059b91ee0a4c40e43c0f00101f901727a250000000000c00205,0,11,0,1,5,19,20,20,76
North melbourne,51d710c1dd3e1e624059def41db237e642c0f00101f9015662240000000000c00205,0,20,9,3,17,20,20,2,91
North shore,51b157b329f20b62405931a880c52b0c43c0f00101f901737a250000000000c00205,0,2,0,0,0,5,1,1,9
North wonthaggi,5126efd23c36336240597d65941dd14b43c0f00101f9016176280000000000c00205,0,2,0,0,0,6,0,20,28
Northcote,51e95e2594542062405989981249f4e242c0f00101f9011b813b0000000000c002059203124e6f727468636f7465204469737472696374,5,20,20,12,20,20,20,20,137
Notting hill,51b6f1cc70a82462405953ec681ceaf342c0f00101f901289d240000000000c00205,0,15,1,0,0,12,4,1,33
Numurkah,511504ea28222e62405994c78965e90b42c0f00101f901666a260000000000c00207,0,1,4,1,0,1,0,20,27
Nunawading,51f509455fa625624059339aa6199ce842c0f00101f9011978240000000000c00205,1,20,7,2,4,20,2,2,58
Nyah west,514f0a4ed819eb614059c72fbc92e49741c0f00101f901c56f2f0000000000c00208,0,1,1,0,1,0,0,5,8
Oak park,51e83e4a36681d624059ec1a88c0ecdb42c0f00101f9019097240000000000c00205,0,2,2,0,0,2,1,2,9
Oakleigh,5196f2b5c20f23624059818010244af342c0f00101f9011e95240000000000c00205,1,20,5,1,13,20,20,3,83
Oakleigh east,5163450da661236240598d47a98427f342c0f00101f901a699240000000000c00205,0,1,1,0,1,13,0,1,17
Oakleigh south,51cee0ef17f3226240590a0044b060f642c0f00101f901c29d240000000000c00205,1,10,3,0,3,20,1,20,58
Ocean grove,51d9942bbccb10624059b9c7d2872e2243c0f00101f901e177250000000000c00207,2,16,5,0,7,0,6,20,56
Officer,51414d88141e2d624059b065e88eb40743c0f00101f901da24250000000000c00205,0,17,14,0,2,13,0,20,66
Officer south,512dbe57637f2d6240595c076234860c43c0f00101f901b46ab20000000000c00205,0,0,1,0,0,0,0,15,16
Olinda,51bf36d19d562c6240597d21e4bcffeb42c0f00101f90115fc240000000000c00205,0,13,1,0,0,3,2,20,39
Omeo,51c5854daef3726240591f86b1e0d98c42c0f00101f9011558280000000000c00207,0,6,1,1,1,2,2,20,33
Orbost,51a3885638938e62405973bf9e0a13da42c0f00101f9016060280000000000c00207,0,11,5,0,1,0,0,20,37
Ormond,5112972da362216240595b615518b6f342c0f00101f901ab99240000000000c00205,0,13,6,0,1,11,4,0,35
Osborne,516f192609f856624059cbcd812f96ac41c0f00101f901fff7590000000000c00207,0,0,0,0,0,0,0,0,0
Ouyen,51e75a0fba1fca61405942e0922ddc8841c0f00101f901627e2f0000000000c00207,0,4,1,1,2,3,2,20,33
Pakenham,51726fd97c772f624059ad307daf210a43c0f00101f901f237250000000000c00205,7,20,14,2,6,20,3,20,92
Paradise beach,511267ea1a926d624059f9b369b63c1843c0f00103f901bf1e821501000000c0020892030e5061726164697365204265616368,0,1,0,0,0,0,0,4,5
Park orchards,5146562360d9266240598d52f82290e342c0f00101f901b98e240000000000c00205,0,3,4,0,3,9,0,20,39
Parkdale,51edf318e5992262405965bcf781f5fe42c0f00101f9013fd9240000000000c00205,1,6,4,0,1,20,1,0,33
Parkville,51d4fce71f731e6240594a19822dc0e442c0f00101f901825d240000000000c00205,0,20,14,11,9,20,6,20,100
Pascoe vale,517c2df8f8411e6240592c8ab2124edc42c0f00101f90102793b0000000000c00205920314506173636f652056616c65204469737472696374,1,20,20,9,20,20,12,20,122
Pascoe vale south,51dbd14900081e624059683d7c9928df42c0f00101f901c68f240000000000c00205,0,12,4,0,2,20,0,0,38
Patterson gardens,51e92ffe9b641a6240597caa549a5edc42c0f00102f901d358612300000000c00201920311506174746572736f6e2047617264656e73,7,20,20,3,20,20,20,20,130
Patterson lakes,51c2a6295d9524624059741df4b6e30843c0f00101f901c100250000000000c00205,2,13,2,0,3,13,3,20,56
Paynesville,51ced204400b77624059c0481e3e9ff442c0f00103f901b45ffc7100000000c0020792030b5061796e657376696c6c65,0,4,3,0,1,2,1,20,31
Pearcedale,5103250516c02762405944fd2e6ccd1943c0f00101f901ef37250000000000c00205,0,0,1,0,0,1,0,20,22
Penshurst,51ae19cf5654c96140592982ee810cf042c0f00103f90195cfde2300000000c0020792030950656e736875727374,0,2,2,0,0,0,0,2,6
Peterborough,5198fd158d10dc614059d7c3f242954d43c0f00101f901661f300000000000c00207,0,1,0,0,0,0,0,15,16
Pioneer bay,513edf60b9af3162405928bfa0e0bd3043c0f00103f901ac0d986600000000c0020692030b50696f6e65657220426179,0,3,0,1,0,0,0,20,24
Plenty,51028a47989823624059f71b92ff6ed542c0f00101f901976b240000000000c00205,0,5,0,0,1,10,1,20,37
Point cook,51488cf9141b186240593ea363bd07f442c0f00101f9010302250000000000c00205,6,20,13,2,5,20,5,20,91
Point lonsdale,518cbe8234a313624059ecb5ea84e12243c0f00101f901da77250000000000c00205,0,2,1,0,1,1,1,20,26
Poowong,51ccbd761f7638624059dc03beece82b43c0f00103f9019cdacc1200000000c00208920307506f6f776f6e67,0,1,2,0,0,0,0,20,23
Porepunkah,517566cc6e375d6240592d3e05c0785942c0f00103f901210c316400000000c0020792030a506f726570756e6b6168,0,2,1,0,0,1,0,20,24
Port albert,5178753348265662405901f2ca9afd5543c0f00103f901dd6b7f8b00000000c0020892030b506f727420416c62657274,0,1,0,0,0,0,0,18,19
Port fairy,51eadb93d192c7614059d9dc8772583143c0f00101f901174b300000000000c00207,0,17,2,1,3,1,2,20,46
Port melbourne,519840005f801d62405943a04495abea42c0f00101f901ab9d240000000000c00205,0,20,4,0,15,20,20,20,99
Port welshpool,5189f1f510e84e6240593ccbe2b4965943c0f00103f9015f8bae7900000000c0020792030e506f72742057656c7368706f6f6c,0,3,1,1,0,0,0,20,25
Portarlington,51de2637e5e514624059314a86d2cd0e43c0f00101f901963b250000000000c00207,0,13,1,0,0,9,0,20,43
Portland,51f8e7fdda55b3614059fe9eb3603d2c43c0f00101f901c572300000000000c00207,0,20,10,4,1,7,7,20,69
Portland north,51c60db6beecb1614059a036aad3812643c0f00101f9012378300000000000c00206,0,0,1,0,0,0,0,9,10
Portsea,5105aee1d869166240594d3a8034522943c0f00101f901b967250000000000c00205,0,1,0,0,0,14,0,20,35
Prahran,51d1bcd2e80420624059adc266800bed42c0f00101f901768e240000000000c00205,1,20,4,1,8,20,4,0,58
Preston,51a1f7c6104020624059ac826275f5de42c0f00101f9016f60240000000000c00205,5,20,20,9,20,20,20,9,123
Princes hill,510c3cf71eee1e6240597ab0202812e442c0f00101f901755d240000000000c00205,0,0,2,0,0,3,0,1,6
Pyramid hill,517bb482f0b20362405946b7b98cf60642c0f00101f9011b412f0000000000c00207,0,1,2,0,0,1,0,20,24
Quambatook,519ac640e8aaf0614059de318683ceec41c0f00101f9018b572f0000000000c00207,0,1,0,0,0,3,0,20,24
Quarry hill,512dc83b2cf9086240593fe08101846342c0f00103f901b6f0697a00000000c0020592030b5175617272792048696c6c,3,20,20,12,20,20,20,20,135
Queenscliff,515f10ec5329156240593a2aedc3302243c0f00101f901de77250000000000c00207,0,8,2,1,0,4,0,11,26
Rainbow,51991d9892dbbf6140591ca89dabf7f241c0f00101f901647e2f0000000000c00207,0,2,1,0,0,0,1,20,24
Rawson,519cb9d111ca4c6240592d9a290879fa42c0f00101f901eeab270000000000c00208,0,1,1,0,0,1,0,16,19
Raymond island,51da8f7c15d47762405941d5e8d500f642c0f00101f9019e5e280000000000c00206,0,0,0,0,0,1,0,9,10
Red cliffs,517ddb5db110c6614059cd599f724c2741c0f00101f90113852f0000000000c00208,0,6,8,1,3,2,3,20,43
Red hill,51823cbb7cab20624059f8cf89f3262f43c0f00101f9013f5e250000000000c00207,0,0,1,0,0,0,0,20,21
Redan,51d49eed2cd5fa61405998bf42e6cac942c0f00103f9016181d93800000000c00205920305526564616e,4,20,20,17,12,20,20,20,133
Research,5117b83cd60c266240591884a8b173da42c0f00101f901e186240000000000c00205,0,1,2,1,1,0,0,11,16
Reservoir,51d82d02633d206240595977e2282fdb42c0f00101f9019b6b240000000000c00205,2,20,16,0,17,20,17,12,104
Rhyll,511553e927dc29624059bd0f51966b3b43c0f00101f901fe78250000000000c00208,0,4,1,0,0,2,0,17,24
Richmond,51ab67f79a14206240598d2441b802e942c0f00101f9013262240000000000c00205,1,20,11,2,20,20,20,13,107
Riddells creek,51fd93ae4faf1562405995e35f15b9ba42c0f00101f901c42b250000000000c00208,0,5,1,2,2,3,0,20,33
Ringwood,51d4450a656127624059deaa9097dae742c0f00101f901159b240000000000c00205,2,20,9,7,20,20,20,20,118
Ringwood east,51043a9336152862405980dd9f41f9e742c0f00101f90185a5240000000000c00205,0,20,3,2,12,20,5,2,64
Ringwood north,51dc6223b57527624059e8e4fb98c5e542c0f00101f9019597240000000000c00205,1,15,3,1,6,20,2,13,61
Rippleside,514b411251670b624059aeade98bce0f43c0f00101f901777a250000000000c00205,0,3,0,0,0,3,4,0,10
Ripponlea,51ea2dd450d91f62405919c0a5ad5bf042c0f00101f9012d97240000000000c00205,0,10,0,0,2,10,1,0,23
Robinvale,51b9669714c4d861405961832adac14a41c0f00101f901837e2f0000000000c00207,0,2,2,0,1,0,0,20,25
Rochester,5141abddc06e1662405929dc3c1faf2d42c0f00103f901fb18ac0800000000c00207920309526f63686573746572,0,6,3,0,0,1,0,20,30
Rockbank,51e1ad98b62415624059d56993799add42c0f00101f901a30f250000000000c00205,0,0,1,0,0,7,0,1,9
Romsey,518be07f2b99176240597ece38680aad42c0f00101f9019932250000000000c00207,0,0,2,0,0,0,0,20,22
Rosanna,512145f8723a22624059253fe257acde42c0f00101f901524a240000000000c00205,0,18,5,1,4,13,1,0,42
Rosebud,51c07adcb71a1d62405966a032fe7d2f43c0f00101f9017e67250000000000c00205,3,20,7,7,20,6,20,20,103
Rosebud south,51ebfd463bee1c624059100533a6602f43c0c00208e2031e77686f736f6e66697273743a6c6f63616c6974793a313031393333343731,4,20,10,7,20,15,20,20,116
Rosedale,511792dd163659624059c63d4cb1591343c0f00103f90193394a0300000000c00207920308526f736564616c65,0,3,1,0,0,1,0,20,25
Rowville,5146e40522d5276240595b33e83a43f642c0f00101f90127b7240000000000c00205,4,20,8,1,19,20,5,20,97
Roxburgh park,517632384a9e1d624059106b3bb71ad042c0f00101f90112a0240000000000c00205,3,6,5,0,1,15,0,14,44
Rupanyup,511610ff552cd461405916f1e725105142c0f00103f9019e9ce21000000000c00207920308527570616e797570,0,0,1,1,1,2,0,15,20
Rushworth,518f19a88c7f20624059ab0fda61024b42c0f00101f901fca1250000000000c00208,0,4,3,1,2,1,0,20,31
Rutherglen,517a06c36fb94e62405985ca64dde40642c0f00101f901297c270000000000c00207,0,5,3,0,0,1,1,20,30
Rye,515805c5eaea1962405946c8e5e4ea3043c0f00101f901c267250000000000c00205,0,20,1,0,1,15,1,20,58
Safety beach,51e198654f022062405923aaa6da5d2843c0f00101f9013253250000000000c00205,0,2,0,1,1,5,0,20,29
Sailors gully,515747ca587307624059e609849d625a42c0f00101f90168062f0000000000c00206,0,1,1,0,0,0,0,2,4
Sale,513ec3e5c2126262405961f426d0710d43c0f00101f90135d9270000000000c00208,1,14,11,4,1,1,1,20,53
San remo,51d6aa5d13d22b624059688e5143c04243c0f00101f901b494250000000000c00208,0,10,2,0,0,3,0,14,29
Sanctuary lakes,518f37f92d7a186240599c9db1d41ff342c0f00102f9018033000a00000000c0020192030f53616e637475617279204c616b6573,8,20,20,2,8,20,12,20,110
Sandhurst,51f92ccf83bb266240594312071a7d0a43c0f00101f9011603250000000000c00205,0,0,0,0,0,1,0,20,21
Sandringham,51074d011f72206240592c5217df06fa42c0f00101f901eaac240000000000c00205,0,20,7,1,3,20,3,10,64
Sandy point,51c111eedf06446240597e33d6a3156a43c0f00103f901e9d7ff0800000000c0020892030b53616e647920506f696e74,0,0,0,0,0,1,0,20,21
Sassafras,51ba3203f06a2b6240598a0fa26b15ef42c0f00101f901ddfb240000000000c00205,0,7,2,0,0,7,0,13,29
Sawmill settlement,5134b33b499f4b62405940e7244a318e42c0f00103f9015ad2413600000000c002079203125361776d696c6c20536574746c656d656e74,0,3,1,0,0,0,0,20,24
Scoresby,5108701f5efc26624059e48810b287f342c0f00101f9016da9240000000000c00205,0,20,3,0,3,20,12,20,78
Sea lake,515e24fe7237db614059fbdc1a22b8c041c0f00101f901c76f2f0000000000c00207,0,3,2,0,2,1,0,20,28
Seabrook,51219ad42b401862405924e0c61cbaf042c0f00101f9011501250000000000c00205,0,1,1,0,0,15,0,0,17
Seaford,51d19673296e246240591d8e53196b0d43c0f00101f9010b0a250000000000c00205,0,20,8,1,10,20,8,20,87
Seaholme,512887aaf3031b624059bc07e8be9cee42c0f00101f901dff2240000000000c00205,0,0,1,0,0,1,0,1,3
Seaspray,51aee1d8691a666240594192a34ade2f43c0f00103f901731d749000000000c002089203085365617370726179,0,1,1,0,0,0,0,20,22
Sebastopol,51ee9d743ec3fa614059747d1f0e12cd42c0f00101f9014db72f0000000000c00206,0,8,8,0,0,1,1,12,30
Seddon,511777cdf5871c624059f5673f5244e742c0f00101f90151a0240000000000c00205,0,17,1,1,4,9,3,0,35
Selby,51a7bfa8ee1b2c624059646c32f499f542c0f00101f901b202250000000000c00205,0,0,1,0,2,9,1,20,33
Seville,51efa8d667b32e6240590f4efa319ce342c0f00101f9011817250000000000c00207,0,7,1,1,2,8,0,20,39
Seville east,516dcc4642f62f6240597aa52c431ce342c0f00101f9015618250000000000c00205,0,0,0,0,0,3,0,20,23
Seymour,51ad09b31a5c246240596547f47c178342c0f00101f9018772250000000000c00207,1,19,6,1,3,1,2,20,53
Shepparton,515f57dd34c72c624059eeb5a0f7c63042c0f00101f9017331260000000000c00207,3,20,20,5,15,20,10,20,113
Shepparton north,519ac0632edf2c62405961d229d9fb2a42c0f00103f901047d31aa01000000c0020892031053686570706172746f6e204e6f727468,0,14,20,2,11,18,3,20,88
Shoreham,5114b4249bc621624059beca90195e3643c0f00101f901b567250000000000c00207,0,0,0,0,0,0,0,19,19
Silverleaves,51995423aaa6286240593e2a59a9fb3943c0f00103f901fe3ea49900000000c0020592030c53696c7665726c6561766573,1,20,4,5,5,11,10,20,76
Skenes creek,51006b7af5d6f66140590f3455e69c5c43c0f00101f901cec7290000000000c00207,0,1,0,0,0,2,0,12,15
Skipton,517918a42ab7eb614059722b291ce6d742c0f00103f9010517e97100000000c00207920307536b6970746f6e,0,2,1,0,0,1,0,16,20
Skye,51029aad61eb26624059b2b8ffc8740d43c0f00101f901ed0a250000000000c00205,0,2,2,0,0,0,0,20,24
Smiths beach,51b61e74bf39286240599c470f8d384043c0f00101f901f778250000000000c00208,0,1,0,0,0,1,0,2,4
Smythes creek,51581b99a28cf86140590ebe30992acd42c0f00101f9019ecb2f0000000000c00206,1,0,0,1,0,0,0,20,22
Smythesdale,513f8974e4edf56140591fc65a327dd242c0f00103f901f421bc1500000000c0020892030b536d797468657364616c65,0,4,2,0,0,2,0,20,28
Soldiers hill,518c40063c7afb61405969e55e6056c642c0f00103f901c9f8d83800000000c0020592030d536f6c64696572732048696c6c,4,20,20,16,13,20,20,20,133
Somers,510c4515598625624059d7d58970383243c0f00101f9018067250000000000c00205,0,0,1,0,0,0,0,20,21
Somerville,5152cab5b28e256240590872f508da1c43c0f00101f9016f39250000000000c00205,2,6,4,0,3,2,1,20,38
Sorrento,510f327f3bbf17624059eac42f06202c43c0f00101f901b667250000000000c00205,0,20,2,3,0,14,1,20,60
South geelong,51906390608f0b624059f6effacc591543c0f00101f901787a250000000000c00205,0,9,0,1,1,12,7,2,32
South kingsville,514263810ae21b6240596af1ce4653ea42c0f00101f901eeac240000000000c00205,0,5,0,0,1,17,0,2,25
South melbourne,5107f5e3e59f1e624059d681bdd3aeea42c0f00101f9017a90240000000000c00205,1,20,9,3,14,20,18,0,85
South morang,5151c9ef23ad22624059961238c8dad042c0f00101f9012887240000000000c00205,4,10,4,1,8,20,4,20,71
South yarra,51557df843bd1f6240590b0bee073ceb42c0f00101f9013e62240000000000c00205,3,20,10,4,9,20,5,5,76
Spotswood,51bea25baf691c6240598709b48531ea42c0f00101f90187a8240000000000c00205,0,8,2,6,2,10,3,20,51
Spring gully,51dd370884270962405900a2050da26542c0f00103f90156126a7a00000000c0020592030c537072696e672047756c6c79,3,20,20,10,19,20,20,20,132
Springvale,51f65c4b6d0e2562405996e2f43f0af942c0f00101f901bcac240000000000c00205,6,20,19,0,20,20,20,20,125
Springvale south,51be423058bb24624059b3ba302d45fc42c0f00101f901dcac240000000000c00205,1,15,5,0,2,19,2,4,48
St albans,511442075dc21962405911678f615fdf42c0f00101f901e9f2240000000000c00205,1,20,17,1,19,20,20,13,111
St albans park,5138071912810c6240594055e0bfd41843c0f00101f901aa7a250000000000c00205,0,0,0,0,0,0,0,1,1
St andrews beach,5152edd3f1981a624059fc47f0d0c13543c0f00101f9012468250000000000c00205,0,0,0,0,0,0,0,1,1
St arnaud,5113d4f02d2ce86140597e8d2441b84e42c0f00101f901804e2f0000000000c00207,0,2,3,0,0,1,0,20,26
St helena,519fe9807f2524624059435376fa41d842c0f00101f9019c60240000000000c00205,1,4,1,0,3,11,1,17,38
St kilda,516571ff91691f624059327788da91ee42c0f00101f9012295240000000000c00205,1,20,6,9,4,20,2,3,65
St kilda east,518955cdbd1120624059dc3a4904f4ee42c0f00101f9016f90240000000000c00205,0,0,11,0,2,20,0,0,33
St kilda west,51b44cd070141f6240597c8d6eced2ed42c0f00101f9015597240000000000c00205,0,4,0,0,0,11,0,1,16
St leonards,51f3df281efc16624059ddbefd6fdb1543c0f00101f9016f53250000000000c00207,0,9,1,0,1,2,2,20,35
Stanhope,5131b1f9b8761f6240598fcb1363f43842c0f00103f901ac89cc2f00000000c002089203085374616e686f7065,0,0,1,0,0,0,0,20,21
Stawell,5140660c18c9d8614059101a660d838742c0f00101f901671f300000000000c00207,0,7,5,1,0,2,0,20,35
Stratford,51481d78109662624059cd63833b06fc42c0f00103f901dc02041000000000c002089203095374726174666f7264,0,5,3,1,1,5,0,20,35
Strathdale,517fc81121240a624059d54d733cb06142c0f00103f9015f126a7a00000000c0020592030a53747261746864616c65,2,20,20,12,20,20,20,20,134
Strathfieldsaye,514f7056e9130b624059efcbf4a67d6742c0f00103f901f8254f6d00000000c0020592030f5374726174686669656c6473617965,0,0,5,0,0,0,0,20,25
Strathmerton,5186281543682f6240592039e34570f641c0f00103f901d4f6cc0800000000c0020892030c5374726174686d6572746f6e,0,1,1,0,0,0,0,20,22
Strathmore,51ade8c53f621d624059833fb26fdddd42c0f00101f9016f97240000000000c00205,2,4,4,1,0,17,1,2,31
Strathmore heights,5112239573b31c624059c54840964fdb42c0f00101f9012e9d240000000000c00205,0,0,0,0,0,4,0,1,5
Strathtulloh,51be99e2bb1e13624059a3a60293c0dd42c0f00101f90158c7740000000000c00205,0,0,1,0,0,4,0,2,7
Studfield,51fe8f2612b227624059eaf29ce312ee42c0f00102f901166ff00200000000c00201920319537475646669656c642053686f7070696e672043656e747265,7,20,20,10,20,20,20,20,137
Sunbury,516b60504b5817624059d4580c6833ca42c0f00101f901cf0f250000000000c00207,2,20,17,2,7,20,4,20,92
Sunderland bay,514cef401dbc2862405995b6b8c6674043c0f00101f901a06cb20000000000c00206,0,0,0,0,0,0,0,3,3
Sunnycliffs,519148dbf853c6614059902111644e2441c0f00102f90105fbb30600000000c0020492031453756e6e79636c69666673204372657363656e74,0,7,10,1,3,2,3,20,46
Sunset strip,51dffeb7ed9628624059ccc7ff2e7d3f43c0f00101f901ec77250000000000c00208,0,0,0,0,0,1,0,0,1
Sunshine,513111ca56b21a6240594318e4d308e542c0f00101f9013cb7240000000000c00205,3,20,5,1,20,20,20,0,89
Sunshine north,5188500020c21a6240598d316601c9e142c0f00101f90138b7240000000000c00205,0,2,7,0,1,0,1,3,14
Sunshine west,519e110077f419624059c4f98a2430e642c0f00101f9013eb7240000000000c00205,0,13,9,0,3,17,0,13,55
Surf beach,51d395198097296240598057152bb44143c0f00101f9016c8c250000000000c00208,0,0,0,0,0,0,0,3,3
Surrey hills,51722fd5712123624059f891b64ce1e942c0f00101f901b36b240000000000c00205,0,8,4,0,3,17,4,2,38
Swan hill,51d2dad9fce4f1614059688fbc186fab41c0f00101f9019e652f0000000000c00208,0,12,10,2,2,1,2,20,49
Swan reach,511ea8531e9d7b624059021077f52ae942c0f00103f901bd294a0300000000c0020692030a5377616e205265616368,0,2,1,0,0,0,0,20,23
Sydenham,5140a54a947d186240591564158090d942c0f00101f90104fc240000000000c00205,0,11,4,0,13,20,4,3,55
Syndal,516e85b01acb24624059afa18ad129f042c0f00103f901f6538a1300000000c0020192030653796e64616c,11,20,20,17,20,20,20,20,148
Tallangatta,517390c657b165624059a762be17ba1b42c0f00101f9017490270000000000c00207,0,6,4,1,0,1,0,16,28
Tangambalanga,518b2da97ff56062405952a9c8d7542042c0f00103f9018535ba4900000000c0020892030d54616e67616d62616c616e6761,0,1,1,0,0,0,0,20,22
Tarneit,51d1bb76fc851662405990662c9a4eeb42c0f00101f901a625390000000000c002059203105461726e656974204469737472696374,9,20,20,2,12,20,13,20,116
Tatura,515f47776b7427624059ee93a300513842c0f00101f9015daf250000000000c00207,0,10,3,2,7,1,14,20,57
Tawonga,511393814da764624059677dca31595942c0f00103f901fc787f4900000000c002079203075461776f6e6761,0,3,2,0,0,1,0,20,26
Tawonga south,5118ee1fec706462405910b056ed9a6142c0f00101f9012682270000000000c00206,0,3,0,0,0,1,0,17,21
Taylors hill,512b453c231b18624059d0679b768cdb42c0f00101f9017afc240000000000c00205,2,11,2,0,5,20,0,3,43
Taylors lakes,51fa02c46e291962405904745fce6cd942c0f00101f9019bf3240000000000c00205,2,20,5,2,4,20,4,18,75
Tecoma,512633839d072b6240593ccbe2b496f342c0f00101f90106fc240000000000c00205,0,6,1,0,1,7,0,5,20
Templestowe,5108f6a974c12462405969a1aeff84e042c0f00101f901726b240000000000c00205,0,13,3,1,1,20,2,20,60
Templestowe lower,51d0e341c497236240591dde18a7c6e142c0f00101f9014e59240000000000c00205,1,9,6,0,3,20,0,6,45
Terang,519b4a500d45dd6140593d8a2947b71e43c0f00103f901caab784800000000c00207920306546572616e67,0,2,3,0,0,1,0,14,20
