Suburb,Place_id,commercial.shopping_mall,catering,education,entertainment,healthcare,public_transport,office,natural,total
Kennington,51cf02a381ce09624059bd6257a4d36242c0f00103f90153126a7a00000000c0020592030a4b656e6e696e67746f6e,2,20,20,12,20,20,20,20,134
Kensington,5194090962aa1d62405954331070ade542c0f00101f9012b97240000000000c00205,0,20,5,1,12,20,14,19,91
Kerang,51b9d7930a74fd614059df0a7261eedd41c0f00101f9017c4e2f0000000000c00207,0,5,6,2,0,2,2,20,37
Kew,51cb30ee061121624059edfa6074d4e642c0f00101f901ee5f240000000000c00205,0,20,16,4,16,20,13,20,109
Kew east,512991e975b02162405913471e882ce542c0f00101f901d25f240000000000c00205,0,13,5,1,6,20,3,20,68
Kew north,51db60f25025216240591a1131cad8e542c0f00103f901814c453c01000000c0020192031b4b6577204e6f727468204c6f63616c20506f7374204f6666696365,10,20,20,20,20,20,20,20,150
Keysborough,51fe13b7655b256240598297cfa8af0043c0f00101f9018ff3240000000000c00205,3,20,11,3,5,20,4,20,86
Kialla,511f1329cda62c624059855ca967413542c0f00103f90155f3eebc00000000c002079203064b69616c6c61,5,20,16,8,12,20,12,20,113
Kilcunda,512777e9703e2f6240592d4e6b894b4643c0f00103f9010e942b0f00000000c002069203084b696c63756e6461,0,2,0,0,0,3,0,20,25
Killara (wodonga),51ed9f02bb755e6240590c570740dc1142c0f00103f9014fae380f00000000c002089203074b696c6c617261,0,3,3,2,1,19,0,20,48
Kilmore,5153ffc5d86e1e62405912d2641069a542c0f00101f901ff1e250000000000c00207,0,9,4,0,6,0,1,20,40
Kilsyth,511144ccdb072a6240597a843f68e2e642c0f00101f901fec8240000000000c00205,2,7,4,0,1,12,1,20,47
Kilsyth south,51f420f3b7f32962405944b9d9c46eea42c0f00101f901ffc8240000000000c00205,0,6,0,0,0,1,1,19,27
Kinglake,51db148f8bea2a624059a59828e730c442c0f00101f90157f9240000000000c00207,0,3,1,1,0,3,0,20,28
Kings park,51fd61f0d5b3186240598ed60748eadd42c0f00101f9018efb240000000000c00205,0,0,4,0,0,17,0,0,21
Kingsbury,515c51ef4e23216240590684d6c397db42c0f00101f901d05f240000000000c00205,0,3,3,0,1,16,0,0,23
